net,length_um
u_cpu.ALU.u_wallace._0173_,608.49
u_cpu.ALU.u_wallace._1070_,608.02
u_cpu.REG_FILE._01482_,606.88
u_cpu.REG_FILE._04666_,606.54
u_cpu._0470_,606.54
u_cpu.REG_FILE._01309_,605.78
u_cpu.REG_FILE._01533_,605.78
u_cpu.ALU.SrcA\[0\],605.36
u_cpu.REG_FILE._02982_,604.505
u_cpu.REG_FILE._02975_,603.52
u_cpu.REG_FILE._04465_,603.24
u_cpu.REG_FILE._01137_,603.1
u_cpu.REG_FILE._01280_,601.92
u_cpu.REG_FILE._01134_,601.88
u_cpu.REG_FILE._02950_,601.75
u_cpu.REG_FILE._03025_,601.54
u_cpu.REG_FILE._01125_,601.295
u_cpu.REG_FILE._01124_,600.495
u_cpu.REG_FILE._01501_,600.24
io_out[32],600.21
u_cpu.REG_FILE._01315_,599.67
u_cpu.ALU.SrcA\[16\],599.07
u_cpu.REG_FILE._01536_,599.06
u_cpu.REG_FILE._01146_,597.775
u_cpu.REG_FILE._01324_,596.78
u_cpu.REG_FILE._03697_,596.75
u_cpu.REG_FILE._01838_,595.65
u_cpu.ALU.SrcA\[17\],595.625
u_cpu.REG_FILE._03058_,594.97
u_cpu.ALU.u_wallace._0108_,594.73
u_cpu.ALU.u_wallace._0184_,592.265
u_cpu.REG_FILE._01075_,592
u_cpu.REG_FILE._03057_,590.82
u_cpu.REG_FILE._03297_,589.57
u_cpu.REG_FILE._02122_,589.18
u_cpu.IMEM._0323_,589.09
u_cpu.ALU.u_wallace._0994_,589.06
u_cpu.ALU.u_wallace._4449_,588.4
u_cpu.ALU.SrcB\[13\],587.32
u_cpu.REG_FILE._01142_,586.075
u_cpu.REG_FILE._01091_,585.94
u_cpu.ALU.u_wallace._4798_,585.1
u_cpu.ALU.Product_Wallace\[31\],584.95
io_out[7],584.47
u_cpu.REG_FILE._03137_,582.61
u_cpu.REG_FILE._01712_,582.12
u_cpu.ALU.u_wallace._1793_,581.235
u_cpu.REG_FILE._05593_,580.61
u_cpu.REG_FILE._04545_,579.7
u_cpu.REG_FILE._02815_,579.185
u_cpu.REG_FILE._05239_,578.4
u_cpu.ALU.SrcB\[15\],578.305
u_cpu.REG_FILE._04723_,578.205
u_cpu.ALU.SrcA\[4\],577.54
u_cpu.REG_FILE._03012_,577.08
u_cpu.REG_FILE._03074_,576.77
u_cpu.REG_FILE._05248_,576.54
u_cpu.REG_FILE._02969_,575.23
u_cpu.REG_FILE._01787_,574.59
u_cpu.ALU.u_wallace._3481_,574.57
u_cpu.REG_FILE._01065_,572.98
u_cpu.REG_FILE._01850_,572.94
u_cpu.REG_FILE._02980_,572.7
u_cpu.REG_FILE._01117_,571.99
u_cpu.REG_FILE._04676_,571.31
u_cpu.ALU.u_wallace._0906_,571.18
u_cpu.REG_FILE._01527_,571.06
u_cpu.REG_FILE._02941_,570.44
u_cpu.REG_FILE._03010_,569.72
u_cpu.ALU.u_wallace._4450_,567.68
u_cpu.REG_FILE._03418_,567.15
u_cpu.REG_FILE._03030_,565.88
u_cpu.REG_FILE._01447_,565.66
u_cpu.ALU.u_wallace._0917_,565.45
u_cpu.REG_FILE._03445_,565.155
u_cpu.REG_FILE._01097_,564.7
u_cpu.ALU.u_wallace._0032_,563.965
u_cpu.REG_FILE._02111_,563.84
u_cpu.REG_FILE._02922_,563.81
u_cpu.REG_FILE._02817_,563.33
u_cpu.ALU.u_wallace._1410_,561.4
u_cpu.REG_FILE._02994_,560.08
u_cpu.ALU.u_wallace._0043_,559.82
u_cpu.REG_FILE._02958_,559.26
u_cpu.ALU.u_wallace._0359_,559.05
u_cpu.REG_FILE._02992_,559.02
u_cpu.REG_FILE._03065_,558.585
io_out[2],558.53
u_cpu.REG_FILE._02860_,558.42
u_cpu.REG_FILE._01121_,555.98
u_cpu.REG_FILE._03077_,554.96
u_cpu.REG_FILE._05666_,553.215
u_cpu.REG_FILE._03337_,552.055
u_cpu.REG_FILE._01024_,552.02
u_cpu.REG_FILE._02997_,551.95
u_cpu.REG_FILE._01153_,551.56
io_out[15],549.65
u_cpu.REG_FILE._01041_,549.22
u_cpu.ALU.u_wallace._0124_,548.825
u_cpu.REG_FILE._02827_,548.79
u_cpu.REG_FILE._03434_,547.32
u_cpu.REG_FILE._03371_,547.21
u_cpu.REG_FILE._02834_,545.305
u_cpu.ALU.SrcA\[5\],544.1
u_cpu.ALU.SrcB\[12\],544.02
u_cpu.IMEM._0489_,543.94
u_cpu.REG_FILE._02825_,543.62
u_cpu.ALU.SrcB\[14\],543.345
u_cpu.REG_FILE._03072_,543.16
u_cpu.ALU.u_wallace._0414_,542.22
u_cpu.IMEM._0698_,541.83
u_cpu.REG_FILE._02837_,541.49
u_cpu.IMEM._0415_,541.42
u_cpu.REG_FILE._01863_,540.9
u_cpu.ALU.SrcB\[8\],540.27
u_cpu.REG_FILE._01707_,538.98
u_cpu.ALU.Product_Wallace\[28\],537.065
u_cpu.REG_FILE._03011_,536.13
u_cpu.REG_FILE._01259_,535.49
u_cpu.REG_FILE._03309_,534.04
u_cpu.REG_FILE._03042_,533.91
u_cpu.REG_FILE._03136_,533.73
u_cpu.ALU.u_wallace._3821_,533.64
u_cpu.REG_FILE._02751_,532.99
u_cpu.REG_FILE._02792_,531.61
u_cpu.ALU.u_wallace._4554_,530.49
u_cpu.REG_FILE._03135_,530.26
u_cpu.ALU.SrcA\[10\],529.87
u_cpu.REG_FILE._04480_,529.815
u_cpu.REG_FILE._02865_,529.145
u_cpu.REG_FILE._01380_,527.58
u_cpu.ALU.SrcA\[9\],527.415
u_cpu.REG_FILE._01098_,527.195
u_cpu.REG_FILE._04581_,525.02
u_cpu.REG_FILE._01584_,524.26
u_cpu.REG_FILE._04785_,523.225
u_cpu.REG_FILE._02748_,522.955
u_cpu.ALU.Product_Wallace\[29\],522.82
u_cpu.REG_FILE._01279_,522.73
u_cpu.REG_FILE._01705_,522.31
u_cpu.REG_FILE._03583_,522
u_cpu.REG_FILE._02948_,521.27
u_cpu.REG_FILE._02861_,520.66
u_cpu.REG_FILE._01288_,520.48
u_cpu.REG_FILE._04972_,518.86
u_cpu.IMEM._0450_,518.59
u_cpu.REG_FILE._03537_,518.07
u_cpu.REG_FILE._01055_,517.86
u_cpu.IMEM._0212_,517.05
u_cpu.ALU.u_wallace._0261_,515.98
u_cpu.REG_FILE._01535_,514.51
u_cpu.ALU.u_wallace._1454_,514.07
u_cpu.REG_FILE._01869_,513.41
u_cpu.REG_FILE._03039_,512.14
u_cpu.ALU.u_wallace._2604_,512.02
u_cpu.IMEM._0025_,510.99
u_cpu.REG_FILE._03009_,509.02
u_cpu.REG_FILE._01372_,508.96
u_cpu.IMEM._0235_,508.38
u_cpu.ALU.u_wallace._0370_,508.24
u_cpu.REG_FILE._04509_,508.23
u_cpu.REG_FILE._01147_,507.78
u_cpu.IMEM._0333_,507.515
u_cpu.REG_FILE._02062_,507.28
u_cpu.REG_FILE._01352_,506.16
u_cpu.REG_FILE._01314_,505.87
u_cpu.REG_FILE._01399_,505.7
u_cpu.REG_FILE._05046_,505.14
u_cpu.ALU.u_wallace._0162_,504.24
u_cpu.ALU.SrcA\[29\],504.14
u_cpu.ALU.SrcA\[2\],503.54
u_cpu.REG_FILE._01400_,502.69
u_cpu.REG_FILE._01660_,502.4
u_cpu.REG_FILE._05156_,502.19
u_cpu.REG_FILE._05009_,501.7
u_cpu.REG_FILE._03037_,501.46
u_cpu.REG_FILE._02745_,501.32
u_cpu.ALU.u_wallace._1322_,500.16
u_cpu.ALU.u_wallace._4783_,500.05
u_cpu.REG_FILE._02852_,500.03
u_cpu.REG_FILE._01620_,499.35
u_cpu.ALU.u_wallace._0117_,498.19
u_cpu.IMEM._0292_,497.81
u_cpu.REG_FILE._01262_,497.64
u_cpu.REG_FILE._01339_,497.12
u_cpu.IMEM._0413_,497.07
u_cpu.REG_FILE._05083_,496.66
u_cpu.ALU.u_wallace._0021_,495.415
u_cpu.ALU.u_wallace._0319_,494.66
u_cpu.REG_FILE._01062_,494.14
u_cpu.IMEM._0216_,493.84
u_cpu.ALU.u_wallace._0446_,493.81
u_cpu.REG_FILE._03298_,493.52
u_cpu.REG_FILE._01360_,491.72
u_cpu.REG_FILE._04645_,491.47
u_cpu.REG_FILE._01161_,491.12
u_cpu.REG_FILE._01156_,490.97
u_cpu.ALU.u_wallace._0939_,490.61
